Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Risiko freier Zins
Muster defensiv cVV;30.12.2008;0;0;0;0;0;0,02928000
Muster defensiv cVV;31.12.2008;0,0016701198;1.635,79;0,0016701198;1.635,79;0,002784415;0,02892000
Muster defensiv cVV;01.01.2009;0,0000684654;67,17;0,0017386995;1.702,96;0;0,02892000
Muster defensiv cVV;02.01.2009;-0,0029930894;-2.936,67;-0,0012595939;-1.233,70;0,006434752;0,02859000
Muster defensiv cVV;03.01.2009;0,0000742785;72,66;-0,0011854090;-1.161,04;0;0,02859000
Muster defensiv cVV;04.01.2009;0,0000742627;72,65;-0,0011112343;-1.088,39;0;0,02859000
Muster defensiv cVV;05.01.2009;0,0067142526;6.568,94;0,0055955572;5.480,54;-0,001153375;0,02822000
Muster defensiv cVV;06.01.2009;0,0013457543;1.325,47;0,0069488417;6.806,01;0,003133859;0,02797000
Muster defensiv cVV;07.01.2009;-0,0021176497;-2.088,54;0,0048164769;4.717,48;-0,004755222;0,02762000
Muster defensiv cVV;08.01.2009;-0,0015938554;-1.568,61;0,0032149447;3.148,86;0,001436928;0,02729000
Muster defensiv cVV;09.01.2009;-0,0019578895;-1.923,81;0,0012507607;1.225,05;0,002823428;0,02692000
Muster defensiv cVV;10.01.2009;0,0000740821;72,65;0,0013249354;1.297,70;0;0,02692000
Muster defensiv cVV;11.01.2009;0,0000740766;72,65;0,0013991101;1.370,35;0;0,02692000
Muster defensiv cVV;12.01.2009;-0,0015153370;-1.486,27;-0,0001183471;-115,91;-0,002145066;0,02653000
Muster defensiv cVV;13.01.2009;-0,0019143796;-1.874,81;-0,0020325001;-1.990,72;0,000594170;0,02612000
Muster defensiv cVV;14.01.2009;-0,0046041681;-4.500,37;-0,0066273103;-6.491,09;-0,004167535;0,02572000
Muster defensiv cVV;15.01.2009;-0,0033039027;-3.214,55;-0,0099093170;-9.705,64;-0,000184950;0,02510000
Muster defensiv cVV;16.01.2009;-0,0001666684;-161,63;-0,0100743339;-9.867,26;0,002194301;0,02453000
Muster defensiv cVV;17.01.2009;0,0000862323;83,61;-0,0099889703;-9.783,65;0;0,02453000
Muster defensiv cVV;18.01.2009;0,0000862249;83,61;-0,0099036067;-9.700,05;0;0,02453000
Muster defensiv cVV;19.01.2009;-0,0016534523;-1.603,43;-0,0115406838;-11.303,47;-0,000601744;0,02410000
Muster defensiv cVV;20.01.2009;-0,0016585853;-1.605,75;-0,0131801279;-12.909,22;-0,001646851;0,02370000
Muster defensiv cVV;21.01.2009;-0,0028397474;-2.744,72;-0,0159824471;-15.653,94;0,004305650;0,02312000
Muster defensiv cVV;22.01.2009;-0,0039371681;-3.794,61;-0,0198566896;-19.448,55;-0,002337073;0,02254000
Muster defensiv cVV;23.01.2009;-0,0007109807;-682,54;-0,0205535526;-20.131,09;0,003232758;0,02199000
Muster defensiv cVV;24.01.2009;0,0000871549;83,61;-0,0204681890;-20.047,48;0;0,02199000
Muster defensiv cVV;25.01.2009;0,0000871578;83,62;-0,0203828151;-19.963,86;0;0,02199000
Muster defensiv cVV;26.01.2009;-0,0001391713;-133,53;-0,0205191497;-20.097,39;-0,010317706;0,02149000
Muster defensiv cVV;27.01.2009;0,0019540566;1.874,62;-0,0186051887;-18.222,77;-0,003099336;0,02130000
Muster defensiv cVV;28.01.2009;0,0035680580;3.429,70;-0,0151035150;-14.793,07;0,006248033;0,02115000
Muster defensiv cVV;29.01.2009;0,0026663409;2.572,09;-0,0124774452;-12.220,98;-0,003952948;0,02101000
Muster defensiv cVV;30.01.2009;-0,0024673118;-2.386,45;-0,0149139713;-14.607,43;-0,001133800;0,02086000
Muster defensiv cVV;31.01.2009;0,0000866560;83,61;-0,0148286077;-14.523,82;0;0,02086000
Muster defensiv cVV;01.02.2009;0,0000866588;83,62;-0,0147432339;-14.440,20;0;0,02086000
Muster defensiv cVV;02.02.2009;-0,0013759220;-1.327,77;-0,0160988704;-15.767,97;0,001298905;0,02077000
Muster defensiv cVV;03.02.2009;-0,0006596444;-635,68;-0,0167478953;-16.403,65;0,001982896;0,02064000
