Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
Muster offensiv cVV;30.12.2008;0;0;0;0;0;EUR
Muster offensiv cVV;31.12.2008;0,0030317489;2.582,38;0,0030317489;2.582,38;0,008361612;EUR
Muster offensiv cVV;01.01.2009;-0,0000441092;-37,69;0,0029875059;2.544,70;0;EUR
Muster offensiv cVV;02.01.2009;0,0101146280;8.641,17;0,0131323514;11.185,86;0,022725632;EUR
Muster offensiv cVV;03.01.2009;0,0000325926;28,13;0,0131653720;11.213,99;0;EUR
Muster offensiv cVV;04.01.2009;0,0000326031;28,14;0,0131984044;11.242,13;0;EUR
Muster offensiv cVV;05.01.2009;0,0082093062;7.084,81;0,0215160603;18.326,93;0,008873515;EUR
Muster offensiv cVV;06.01.2009;0,0071306542;6.204,43;0,0288001381;24.531,36;0,011318578;EUR
Muster offensiv cVV;07.01.2009;-0,0064833572;-5.681,43;0,0221300593;18.849,92;-0,017474280;EUR
Muster offensiv cVV;08.01.2009;-0,0053595718;-4.666,20;0,0166518799;14.183,72;-0,005810837;EUR
Muster offensiv cVV;09.01.2009;-0,0039973236;-3.461,53;0,0125879934;10.722,19;-0,007037070;EUR
Muster offensiv cVV;10.01.2009;0,0000326101;28,13;0,0126210140;10.750,32;0;EUR
Muster offensiv cVV;11.01.2009;0,0000326091;28,13;0,0126540347;10.778,44;0;EUR
Muster offensiv cVV;12.01.2009;-0,0047745630;-4.118,34;0,0078190541;6.660,11;-0,008309747;EUR
Muster offensiv cVV;13.01.2009;-0,0047891525;-4.111,20;0,0029924550;2.548,91;-0,007033037;EUR
Muster offensiv cVV;14.01.2009;-0,0116393585;-9.943,83;-0,0086817337;-7.394,92;-0,027896488;EUR
Muster offensiv cVV;15.01.2009;-0,0142499593;-12.032,44;-0,0228079786;-19.427,36;-0,008200590;EUR
Muster offensiv cVV;16.01.2009;0,0059128301;4.921,55;-0,0170300082;-14.505,81;0,002486443;EUR
Muster offensiv cVV;17.01.2009;0,0000336047;28,14;-0,0169969758;-14.477,67;0;EUR
Muster offensiv cVV;18.01.2009;0,0000335916;28,13;-0,0169639552;-14.449,54;0;EUR
Muster offensiv cVV;19.01.2009;0,0000991851;83,05;-0,0168664527;-14.366,49;-0,004698470;EUR
Muster offensiv cVV;20.01.2009;-0,0043763797;-3.664,84;-0,0211690184;-18.031,33;-0,016425237;EUR
Muster offensiv cVV;21.01.2009;-0,0046879195;-3.908,54;-0,0257576992;-21.939,87;0,010336171;EUR
Muster offensiv cVV;22.01.2009;-0,0017220377;-1.429,01;-0,0274353812;-23.368,89;-0,010311358;EUR
Muster offensiv cVV;23.01.2009;-0,0039015683;-3.232,10;-0,0312299085;-26.600,98;-0,001652731;EUR
Muster offensiv cVV;24.01.2009;0,0000412235;34,02;-0,0311899724;-26.566,97;0;EUR
Muster offensiv cVV;25.01.2009;0,0000412339;34,03;-0,0311500246;-26.532,94;0;EUR
Muster offensiv cVV;26.01.2009;0,0074742436;6.168,09;-0,0239086039;-20.364,85;0,009126867;EUR
Muster offensiv cVV;27.01.2009;0,0022441286;1.865,80;-0,0217181292;-18.499,05;0,004278501;EUR
Muster offensiv cVV;28.01.2009;0,0101668605;8.471,84;-0,0117720739;-10.027,21;0,026650807;EUR
Muster offensiv cVV;29.01.2009;0,0019141513;1.611,24;-0,0098804561;-8.415,97;-0,012207219;EUR
Muster offensiv cVV;30.01.2009;-0,0013947318;-1.176,27;-0,0112614073;-9.592,23;-0,008371414;EUR
Muster offensiv cVV;31.01.2009;0,0000403909;34,02;-0,0112214713;-9.558,22;0;EUR
Muster offensiv cVV;01.02.2009;0,0000403893;34,02;-0,0111815352;-9.524,20;0;EUR
Muster offensiv cVV;02.02.2009;-0,0075996408;-6.400,83;-0,0186962003;-15.925,03;-0,009522585;EUR
Muster offensiv cVV;03.02.2009;0,0011586419;968,46;-0,0175592206;-14.956,58;0,011011293;EUR
Muster offensiv cVV;04.02.2009;0,0047920804;4.010,12;-0,0128512853;-10.946,46;0,014716730;EUR
Muster offensiv cVV;05.02.2009;0,0094321529;7.930,86;-0,0035403478;-3.015,59;0,005629905;EUR
Muster offensiv cVV;06.02.2009;0,0032697832;2.775,27;-0,0002821407;-240,32;0,018728580;EUR
Muster offensiv cVV;07.02.2009;0,0000361211;30,76;-0,0002460298;-209,56;0;EUR
Muster offensiv cVV;08.02.2009;0,0000361198;30,76;-0,0002099190;-178,80;0;EUR
Muster offensiv cVV;09.02.2009;0,0018196370;1.549,60;0,0016093361;1.370,80;-0,002183994;EUR
Muster offensiv cVV;10.02.2009;-0,0059110708;-5.043,03;-0,0043112476;-3.672,23;-0,024659079;EUR
Muster offensiv cVV;11.02.2009;-0,0039053365;-3.312,14;-0,0081997472;-6.984,37;0,007086228;EUR
Muster offensiv cVV;12.02.2009;-0,0044777604;-3.782,79;-0,0126407911;-10.767,16;-0,008826038;EUR
Muster offensiv cVV;13.02.2009;-0,0026802131;-2.254,09;-0,0152871242;-13.021,25;-0,004110163;EUR
Muster offensiv cVV;14.02.2009;0,0000366715;30,76;-0,0152510133;-12.990,49;0;EUR
Muster offensiv cVV;15.02.2009;0,0000366701;30,76;-0,0152149024;-12.959,74;0;EUR
Muster offensiv cVV;16.02.2009;-0,0002327374;-195,22;-0,0154440987;-13.154,96;-0,002435150;EUR
Muster offensiv cVV;17.02.2009;-0,0071809164;-6.022,09;-0,0225141124;-19.177,05;-0,021430173;EUR
